Agricultural methane emission
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total number of data,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total number of missing data,Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%) - Total percent of missing data
"Country Code, Year, Deaths - Self-harm - Sex: Both - Age: All Ages (Percent) (%)",1990-2017,209,2004,8,65.25,6468,0,0.0
Alcohol or drug use disorders
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total number of data,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total number of missing data,Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Alcohol and substance use disorders: Both (age-standardized percent) (%)",1990-2016,196,2003,8,60.67,6156,0,0.0
Eating disorder
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,196,2004,8,65.25,6468,0,0.0
Share with depression
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,196,2004,8,65.25,6468,0,0.0
Mental and substance disorders
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of data,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total number of missing data,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%) - Total percent of missing data
"Country Code, Year, Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)",1990-2017,196,2004,8,65.25,6468,0,0.0
Unemployment
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,"Unemployment, total (% of total labor force) (national estimate) - Total number of data","Unemployment, total (% of total labor force) (national estimate) - Total number of missing data","Unemployment, total (% of total labor force) (national estimate) - Total percent of missing data"
"Country Code, Year, Unemployment, total (% of total labor force) (national estimate)",1960-2019,217,1990,17,299.92,13020,9296,71.4
Urban population growth
Columns,Year - Range,Country Code - Unique impressions,Year - Mean value,Year - Standard deviation,Year - Variance,urban_population_growth_percent - Total number of data,urban_population_growth_percent - Total number of missing data,urban_population_growth_percent - Total percent of missing data
"Country Code, Year, urban_population_growth_percent",1960-2018,217,1989,17,290.0,12803,230,1.8
